DrainI(1),DrainV(1),GateI(1),GateV(1),IDRAIN(1),IGATE(1),IDMAX(1),RD(1),IGLEAK(1),DrainI(2),DrainV(2),GateI(2),GateV(2),IDRAIN(2),IGATE(2),IDMAX(2),RD(2),IGLEAK(2),DrainI(3),DrainV(3),GateI(3),GateV(3),IDRAIN(3),IGATE(3),IDMAX(3),RD(3),IGLEAK(3),DrainI(4),DrainV(4),GateI(4),GateV(4),IDRAIN(4),IGATE(4),IDMAX(4),RD(4),IGLEAK(4),DrainI(5),DrainV(5),GateI(5),GateV(5),IDRAIN(5),IGATE(5),IDMAX(5),RD(5),IGLEAK(5),DrainI(6),DrainV(6),GateI(6),GateV(6),IDRAIN(6),IGATE(6),IDMAX(6),RD(6),IGLEAK(6),DrainI(7),DrainV(7),GateI(7),GateV(7),IDRAIN(7),IGATE(7),IDMAX(7),RD(7),IGLEAK(7),DrainI(8),DrainV(8),GateI(8),GateV(8),IDRAIN(8),IGATE(8),IDMAX(8),RD(8),IGLEAK(8),DrainI(9),DrainV(9),GateI(9),GateV(9),IDRAIN(9),IGATE(9),IDMAX(9),RD(9),IGLEAK(9),DrainI(10),DrainV(10),GateI(10),GateV(10),IDRAIN(10),IGATE(10),IDMAX(10),RD(10),IGLEAK(10),DrainI(11),DrainV(11),GateI(11),GateV(11),IDRAIN(11),IGATE(11),IDMAX(11),RD(11),IGLEAK(11),DrainI(12),DrainV(12),GateI(12),GateV(12),IDRAIN(12),IGATE(12),IDMAX(12),RD(12),IGLEAK(12),DrainI(13),DrainV(13),GateI(13),GateV(13),IDRAIN(13),IGATE(13),IDMAX(13),RD(13),IGLEAK(13),DrainI(14),DrainV(14),GateI(14),GateV(14),IDRAIN(14),IGATE(14),IDMAX(14),RD(14),IGLEAK(14),DrainI(15),DrainV(15),GateI(15),GateV(15),IDRAIN(15),IGATE(15),IDMAX(15),RD(15),IGLEAK(15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.2840E-9,-15.8914E-6,-2.7721E-6,-5.0000E+0,8.3840E-3,-55.4415E-3,60.1165E-3,#REF,-105.3377E-3,243.0465E-9,-43.4361E-6,-1.9964E-6,-4.5000E+0,5.4010E-3,-39.9275E-3,56.5656E-3,#REF,-85.7986E-3,139.6998E-9,-64.3031E-6,-1.2416E-6,-4.0000E+0,3.1044E-3,-24.8329E-3,53.1751E-3,#REF,-69.8653E-3,59.6750E-9,81.7664E-6,-683.9800E-9,-3.5000E+0,1.3261E-3,-13.6796E-3,55.4977E-3,#REF,-57.7896E-3,-1.7441E-6,-198.6872E-6,-403.0499E-9,-3.0000E+0,-38.7584E-3,-8.0610E-3,65.3756E+0,#REF,-45.9654E-3,274.7798E-12,-57.6257E-6,-390.4697E-9,-2.5000E+0,6.1062E-6,-7.8094E-3,226.8432E+0,#REF,-34.0574E-3,1.9724E-9,-55.1216E-6,-260.4902E-9,-2.0000E+0,43.8315E-6,-5.2098E-3,397.5519E+0,#REF,-27.1809E-3,2.1729E-9,-55.1216E-6,-294.0324E-9,-1.5000E+0,48.2857E-6,-5.8806E-3,563.8911E+0,#REF,-19.5497E-3,1.0501E-9,-57.6257E-6,-193.4022E-9,-1.0000E+0,23.3342E-6,-3.8680E-3,721.4810E+0,#REF,-14.7698E-3,398.0280E-12,-61.7990E-6,-247.9101E-9,-500.0000E-3,8.8450E-6,-4.9582E-3,868.8164E+0,#REF,-12.0024E-3,675.3174E-12,-53.4522E-6,-281.4540E-9,000.0000E+0,15.0069E-6,-5.6291E-3,1.0077E+3,#REF,-9.9897E-3,62.4953E-12,-55.9563E-6,-264.6811E-9,500.0000E-3,1.3888E-6,-5.2936E-3,1.1303E+3,#REF,-5.8806E-3,-488.1666E-12,-46.7747E-6,-260.4902E-9,1.0000E+0,-10.8480E-6,-5.2098E-3,1.2365E+3,#REF,-6.2161E-3,-2.2483E-9,-46.7747E-6,620.0335E-9,1.5000E+0,-49.9625E-6,12.4007E-3,1.3256E+3,#REF,-8.8996E-3,-1.6642E-6,2.4715E-6,21.8322E-6,2.0000E+0,-36.9813E-3,436.6449E-3,1.3966E+3,#REF,-9.8220E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401.3661E-9,100.0051E-3,-2.7134E-6,-5.0000E+0,8.9192E-3,-54.2675E-3,,4.1533E+6,,262.7746E-9,99.9683E-3,-2.0509E-6,-4.5000E+0,5.8394E-3,-41.0177E-3,,5.0695E+6,,163.8127E-9,99.9525E-3,-1.1955E-6,-4.0000E+0,3.6402E-3,-23.9104E-3,,4.1479E+6,,99.8143E-9,99.9491E-3,-725.9096E-9,-3.5000E+0,2.2181E-3,-14.5182E-3,,2.4880E+6,,528.9135E-6,100.0668E-3,-444.9794E-9,-3.0000E+0,11.7535E+0,-8.8996E-3,,188.9458E+0,,1.5242E-3,99.9909E-3,-361.1203E-9,-2.5000E+0,33.8716E+0,-7.2224E-3,,65.6384E+0,,1.8960E-3,100.0051E-3,-210.1733E-9,-2.0000E+0,42.1332E+0,-4.2035E-3,,52.7740E+0,,2.0573E-3,100.0034E-3,-193.4022E-9,-1.5000E+0,45.7182E+0,-3.8680E-3,,48.6349E+0,,2.1895E-3,100.0134E-3,-113.7341E-9,-1.0000E+0,48.6544E+0,-2.2747E-3,,45.7056E+0,,2.2542E-3,100.0092E-3,-264.6811E-9,-500.0000E-3,50.0921E+0,-5.2936E-3,,44.3938E+0,,2.3033E-3,100.0142E-3,-239.5245E-9,000.0000E+0,51.1849E+0,-4.7905E-3,,43.4445E+0,,2.3428E-3,100.0076E-3,-264.6811E-9,500.0000E-3,52.0626E+0,-5.2936E-3,,42.7103E+0,,2.3862E-3,100.0218E-3,-218.5607E-9,1.0000E+0,53.0257E+0,-4.3712E-3,,41.9367E+0,,2.4189E-3,100.0142E-3,393.6129E-9,1.5000E+0,53.7527E+0,7.8723E-3,,41.3663E+0,,2.4892E-3,100.0209E-3,16.5407E-6,2.0000E+0,55.3154E+0,330.8144E-3,,40.1538E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423.9573E-9,200.0619E-3,-2.7218E-6,-5.0000E+0,9.4212E-3,-54.4352E-3,,4.4290E+6,,286.9042E-9,200.0344E-3,-2.0215E-6,-4.5000E+0,6.3756E-3,-40.4307E-3,,4.1470E+6,,184.6598E-9,200.0210E-3,-1.1704E-6,-4.0000E+0,4.1035E-3,-23.4073E-3,,4.8001E+6,,119.3639E-9,200.0177E-3,-696.5583E-9,-3.5000E+0,2.6525E-3,-13.9312E-3,,5.1187E+6,,820.9955E-6,200.1662E-3,-461.7523E-9,-3.0000E+0,18.2442E+0,-9.2350E-3,,342.7099E+0,,2.9375E-3,200.0744E-3,-390.4697E-9,-2.5000E+0,65.2764E+0,-7.8094E-3,,70.8189E+0,,3.7496E-3,200.1003E-3,-214.3661E-9,-2.0000E+0,83.3226E+0,-4.2873E-3,,54.0022E+0,,4.0935E-3,200.0986E-3,-205.9805E-9,-1.5000E+0,90.9663E+0,-4.1196E-3,,49.1583E+0,,4.3654E-3,200.1145E-3,-117.9287E-9,-1.0000E+0,97.0077E+0,-2.3586E-3,,46.0040E+0,,4.4989E-3,200.1036E-3,-231.1390E-9,-500.0000E-3,99.9741E+0,-4.6228E-3,,44.5912E+0,,4.5992E-3,200.1053E-3,-252.1028E-9,000.0000E+0,102.2031E+0,-5.0421E-3,,43.5967E+0,,4.6792E-3,200.1070E-3,-264.6811E-9,500.0000E-3,103.9811E+0,-5.2936E-3,,42.8443E+0,,4.7672E-3,200.1128E-3,-193.4022E-9,1.0000E+0,105.9375E+0,-3.8680E-3,,42.0364E+0,,4.8324E-3,200.1162E-3,221.7021E-9,1.5000E+0,107.3865E+0,4.4340E-3,,41.4751E+0,,4.9805E-3,200.1253E-3,12.9180E-6,2.0000E+0,110.6767E+0,258.3600E-3,,40.1819E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.2183E-9,299.7832E-3,-2.8056E-6,-5.0000E+0,9.9159E-3,-56.1124E-3,,4.4797E+6,,310.7478E-9,299.7824E-3,-2.0760E-6,-4.5000E+0,6.9054E-3,-41.5208E-3,,4.1834E+6,,204.1714E-9,299.7415E-3,-1.2458E-6,-4.0000E+0,4.5371E-3,-24.9167E-3,,5.1108E+6,,140.2597E-9,299.7373E-3,-734.2933E-9,-3.5000E+0,3.1169E-3,-14.6859E-3,,4.7722E+6,,926.3499E-6,299.7749E-3,-520.4529E-9,-3.0000E+0,20.5853E+0,-10.4091E-3,,945.4627E+0,,4.1951E-3,299.8249E-3,-369.5059E-9,-2.5000E+0,93.2240E+0,-7.3901E-3,,79.3147E+0,,5.5362E-3,299.8633E-3,-289.8414E-9,-2.0000E+0,123.0253E+0,-5.7968E-3,,55.8384E+0,,6.0907E-3,299.8600E-3,-243.7173E-9,-1.5000E+0,135.3474E+0,-4.8743E-3,,49.9514E+0,,6.5107E-3,299.8750E-3,-130.5070E-9,-1.0000E+0,144.6816E+0,-2.6101E-3,,46.5009E+0,,6.7185E-3,299.8734E-3,-252.1028E-9,-500.0000E-3,149.2990E+0,-5.0421E-3,,44.9485E+0,,6.8734E-3,299.8842E-3,-264.6811E-9,000.0000E+0,152.7404E+0,-5.2936E-3,,43.8742E+0,,6.9947E-3,299.8842E-3,-235.3318E-9,500.0000E-3,155.4369E+0,-4.7066E-3,,43.0904E+0,,7.1274E-3,299.8859E-3,-201.7878E-9,1.0000E+0,158.3848E+0,-4.0358E-3,,42.2740E+0,,7.2245E-3,299.8859E-3,196.5454E-9,1.5000E+0,160.5430E+0,3.9309E-3,,41.7086E+0,,7.4481E-3,299.8892E-3,10.0290E-6,2.0000E+0,165.5128E+0,200.5809E-3,,40.4287E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470.5948E-9,399.8442E-3,-2.8811E-6,-5.0000E+0,10.4576E-3,-57.6218E-3,,4.1048E+6,,331.5024E-9,399.8184E-3,-2.1012E-6,-4.5000E+0,7.3666E-3,-42.0240E-3,,4.8199E+6,,225.8878E-9,399.7975E-3,-1.2416E-6,-4.0000E+0,5.0197E-3,-24.8329E-3,,4.6074E+6,,161.6672E-9,399.7900E-3,-713.3276E-9,-3.5000E+0,3.5926E-3,-14.2666E-3,,4.6737E+6,,982.3834E-6,399.8166E-3,-419.8209E-9,-3.0000E+0,21.8305E+0,-8.3964E-3,,1.7854E+3,,5.2618E-3,399.8951E-3,-373.6986E-9,-2.5000E+0,116.9277E+0,-7.4740E-3,,93.8150E+0,,7.2518E-3,399.9377E-3,-239.5245E-9,-2.0000E+0,161.1504E+0,-4.7905E-3,,58.3305E+0,,8.0546E-3,399.9494E-3,-289.8414E-9,-1.5000E+0,178.9897E+0,-5.7968E-3,,50.9640E+0,,8.6334E-3,399.9627E-3,-134.6998E-9,-1.0000E+0,191.8522E+0,-2.6940E-3,,47.1511E+0,,8.9218E-3,399.9594E-3,-256.2956E-9,-500.0000E-3,198.2612E+0,-5.1259E-3,,45.4250E+0,,9.1309E-3,399.8334E-3,-260.4902E-9,000.0000E+0,202.9077E+0,-5.2098E-3,,44.2733E+0,,9.2944E-3,399.8359E-3,-222.7516E-9,500.0000E-3,206.5412E+0,-4.4550E-3,,43.4626E+0,,9.4720E-3,399.8300E-3,-159.8582E-9,1.0000E+0,210.4869E+0,-3.1972E-3,,42.6271E+0,,9.6030E-3,399.8375E-3,-13.1040E-9,1.5000E+0,213.3969E+0,-262.0800E-6,,42.0238E+0,,9.9004E-3,399.8267E-3,7.8403E-6,2.0000E+0,220.0075E+0,156.8064E-3,,40.7528E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493.7485E-9,499.8869E-3,-2.8266E-6,-5.0000E+0,10.9721E-3,-56.5316E-3,,4.3208E+6,,352.9269E-9,499.8627E-3,-2.1222E-6,-4.5000E+0,7.8427E-3,-42.4433E-3,,4.6696E+6,,249.3293E-9,499.8493E-3,-1.2752E-6,-4.0000E+0,5.5406E-3,-25.5037E-3,,4.2682E+6,,182.0199E-9,499.8451E-3,-788.8029E-9,-3.5000E+0,4.0448E-3,-15.7761E-3,,4.9161E+6,,1.0072E-3,499.8635E-3,-516.2601E-9,-3.0000E+0,22.3831E+0,-10.3252E-3,,4.0234E+3,,6.0939E-3,499.9512E-3,-394.6643E-9,-2.5000E+0,135.4176E+0,-7.8933E-3,,120.2520E+0,,8.8642E-3,500.0046E-3,-277.2595E-9,-2.0000E+0,196.9791E+0,-5.5452E-3,,62.0643E+0,,9.9596E-3,499.8718E-3,-298.2251E-9,-1.5000E+0,221.3224E+0,-5.9645E-3,,52.4529E+0,,10.7133E-3,499.8810E-3,-117.9287E-9,-1.0000E+0,238.0701E+0,-2.3586E-3,,48.0417E+0,,11.0898E-3,499.8710E-3,-201.7878E-9,-500.0000E-3,246.4365E+0,-4.0358E-3,,46.0866E+0,,11.3630E-3,499.8761E-3,-226.9444E-9,000.0000E+0,252.5078E+0,-4.5389E-3,,44.8214E+0,,11.5711E-3,499.8769E-3,-289.8414E-9,500.0000E-3,257.1338E+0,-5.7968E-3,,43.9415E+0,,11.7919E-3,499.8761E-3,-235.3318E-9,1.0000E+0,262.0396E+0,-4.7066E-3,,43.1252E+0,,11.9542E-3,499.8827E-3,-34.0679E-9,1.5000E+0,265.6461E+0,-681.3571E-6,,42.5500E+0,,12.3219E-3,499.8752E-3,5.9870E-6,2.0000E+0,273.8164E+0,119.7406E-3,,41.3180E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517.5352E-9,599.5940E-3,-2.8643E-6,-5.0000E+0,11.5007E-3,-57.2864E-3,,4.1917E+6,,375.1285E-9,599.5598E-3,-2.1305E-6,-4.5000E+0,8.3361E-3,-42.6110E-3,,4.4905E+6,,265.7749E-9,599.5373E-3,-1.2500E-6,-4.0000E+0,5.9060E-3,-25.0006E-3,,6.0617E+6,,203.5698E-9,599.5381E-3,-776.2246E-9,-3.5000E+0,4.5237E-3,-15.5245E-3,,4.6261E+6,,1.0270E-3,599.5464E-3,-512.0673E-9,-3.0000E+0,22.8214E+0,-10.2413E-3,,5.0541E+3,,6.6812E-3,599.6441E-3,-365.3131E-9,-2.5000E+0,148.4698E+0,-7.3063E-3,,169.7324E+0,,10.3325E-3,599.5640E-3,-260.4902E-9,-2.0000E+0,229.6088E+0,-5.2098E-3,,67.8035E+0,,11.7991E-3,599.5615E-3,-264.6811E-9,-1.5000E+0,262.1987E+0,-5.2936E-3,,54.1952E+0,,12.7431E-3,599.5673E-3,-109.5432E-9,-1.0000E+0,283.1775E+0,-2.1909E-3,,49.1101E+0,,13.2156E-3,599.5573E-3,-260.4902E-9,-500.0000E-3,293.6779E+0,-5.2098E-3,,46.8917E+0,,13.5520E-3,599.5706E-3,-260.4902E-9,000.0000E+0,301.1535E+0,-5.2098E-3,,45.5418E+0,,13.8073E-3,599.5715E-3,-260.4902E-9,500.0000E-3,306.8256E+0,-5.2098E-3,,44.5830E+0,,14.0713E-3,599.5690E-3,-243.7173E-9,1.0000E+0,312.6932E+0,-4.8743E-3,,43.7358E+0,,14.2646E-3,599.5731E-3,-75.9974E-9,1.5000E+0,316.9872E+0,-1.5199E-3,,43.1492E+0,,14.6989E-3,599.5681E-3,4.7375E-6,2.0000E+0,326.6393E+0,94.7505E-3,,41.9398E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538.9865E-9,699.5323E-3,-2.9146E-6,-5.0000E+0,11.9774E-3,-58.2927E-3,,4.6588E+6,,395.0023E-9,699.4897E-3,-2.1138E-6,-4.5000E+0,8.7777E-3,-42.2756E-3,,5.0282E+6,,290.6154E-9,699.4923E-3,-1.3087E-6,-4.0000E+0,6.4581E-3,-26.1746E-3,,4.0239E+6,,225.2088E-9,699.4848E-3,-813.9596E-9,-3.5000E+0,5.0046E-3,-16.2792E-3,,4.6188E+6,,1.0437E-3,699.5048E-3,-533.0330E-9,-3.0000E+0,23.1942E+0,-10.6607E-3,,5.9582E+3,,7.0568E-3,699.6025E-3,-356.9276E-9,-2.5000E+0,156.8164E+0,-7.1386E-3,,266.1270E+0,,11.6700E-3,699.5198E-3,-239.5245E-9,-2.0000E+0,259.3308E+0,-4.7905E-3,,74.7334E+0,,13.5631E-3,699.5147E-3,-273.0685E-9,-1.5000E+0,301.3998E+0,-5.4614E-3,,56.6607E+0,,14.7224E-3,699.5190E-3,-113.7341E-9,-1.0000E+0,327.1607E+0,-2.2747E-3,,50.4995E+0,,15.3013E-3,699.5123E-3,-197.5932E-9,-500.0000E-3,340.0250E+0,-3.9519E-3,,47.9254E+0,,15.7089E-3,699.5290E-3,-201.7878E-9,000.0000E+0,349.0836E+0,-4.0358E-3,,46.3440E+0,,16.0103E-3,699.5290E-3,-185.0149E-9,500.0000E-3,355.7807E+0,-3.7003E-3,,45.3734E+0,,16.3184E-3,699.5232E-3,-201.7878E-9,1.0000E+0,362.6264E+0,-4.0358E-3,,44.4831E+0,,16.5411E-3,699.5290E-3,-126.3143E-9,1.5000E+0,367.5768E+0,-2.5263E-3,,43.9066E+0,,17.0388E-3,699.5240E-3,3.6977E-6,2.0000E+0,378.6354E+0,73.9534E-3,,42.7189E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562.5911E-9,799.5867E-3,-2.9230E-6,-5.0000E+0,12.5019E-3,-58.4604E-3,,4.2388E+6,,416.2371E-9,799.5766E-3,-2.1851E-6,-4.5000E+0,9.2496E-3,-43.7012E-3,,4.7134E+6,,311.0073E-9,799.5382E-3,-1.2668E-6,-4.0000E+0,6.9112E-3,-25.3360E-3,,4.9062E+6,,248.7187E-9,799.5458E-3,-801.3812E-9,-3.5000E+0,5.5270E-3,-16.0276E-3,,4.2561E+6,,1.0592E-3,799.5541E-3,-604.3119E-9,-3.0000E+0,23.5384E+0,-12.0862E-3,,6.4596E+3,,7.2614E-3,799.6593E-3,-382.0860E-9,-2.5000E+0,161.3629E+0,-7.6417E-3,,489.0507E+0,,12.8211E-3,799.5775E-3,-277.2595E-9,-2.0000E+0,284.9113E+0,-5.5452E-3,,86.9207E+0,,15.2366E-3,799.5700E-3,-340.1565E-9,-1.5000E+0,338.5876E+0,-6.8031E-3,,59.7892E+0,,16.6360E-3,799.5816E-3,-159.8582E-9,-1.0000E+0,369.6855E+0,-3.1972E-3,,52.2892E+0,,17.3361E-3,799.5758E-3,-247.9101E-9,-500.0000E-3,385.2424E+0,-4.9582E-3,,49.1759E+0,,17.8196E-3,799.5842E-3,-201.7878E-9,000.0000E+0,395.9880E+0,-4.0358E-3,,47.4034E+0,,18.1705E-3,799.5875E-3,-256.2956E-9,500.0000E-3,403.7841E+0,-5.1259E-3,,46.3196E+0,,18.5197E-3,799.5816E-3,-201.7878E-9,1.0000E+0,411.5459E+0,-4.0358E-3,,45.4523E+0,,18.7735E-3,799.5800E-3,-193.4022E-9,1.5000E+0,417.1857E+0,-3.8680E-3,,44.8172E+0,,19.3280E-3,799.5808E-3,2.7710E-6,2.0000E+0,429.5058E+0,55.4205E-3,,43.7084E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587.0207E-9,899.6310E-3,-2.9398E-6,-5.0000E+0,13.0448E-3,-58.7958E-3,,4.0952E+6,,436.4731E-9,899.6285E-3,-2.1599E-6,-4.5000E+0,9.6993E-3,-43.1980E-3,,4.9442E+6,,330.5543E-9,899.5885E-3,-1.3171E-6,-4.0000E+0,7.3456E-3,-26.3423E-3,,5.1185E+6,,269.1383E-9,899.5860E-3,-784.6083E-9,-3.5000E+0,5.9808E-3,-15.6922E-3,,4.8992E+6,,1.0716E-3,899.5909E-3,-553.9969E-9,-3.0000E+0,23.8134E+0,-11.0799E-3,,8.0821E+3,,7.3785E-3,899.7002E-3,-465.9450E-9,-2.5000E+0,163.9647E+0,-9.3189E-3,,854.4647E+0,,13.7682E-3,899.6135E-3,-247.9101E-9,-2.0000E+0,305.9559E+0,-4.9582E-3,,105.6329E+0,,16.8024E-3,899.6127E-3,-335.9619E-9,-1.5000E+0,373.3831E+0,-6.7192E-3,,63.8919E+0,,18.4745E-3,899.6218E-3,-75.9974E-9,-1.0000E+0,410.5410E+0,-1.5199E-3,,54.4136E+0,,19.3122E-3,899.6093E-3,-252.1028E-9,-500.0000E-3,429.1558E+0,-5.0421E-3,,50.6211E+0,,19.8758E-3,899.6226E-3,-218.5607E-9,000.0000E+0,441.6790E+0,-4.3712E-3,,48.6540E+0,,20.2783E-3,899.6243E-3,-218.5607E-9,500.0000E-3,450.6244E+0,-4.3712E-3,,47.4595E+0,,20.6702E-3,899.6268E-3,-235.3318E-9,1.0000E+0,459.3334E+0,-4.7066E-3,,46.5227E+0,,20.9550E-3,899.6243E-3,-189.2095E-9,1.5000E+0,465.6624E+0,-3.7842E-3,,45.8609E+0,,21.5601E-3,899.6251E-3,2.1589E-6,2.0000E+0,479.1093E+0,43.1770E-3,,44.8191E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
